t,elapsed,x,y,dx,dy,dz,xy,xyz,yaw_deg
1781078815.6617782,283.06279277801514,149.15295245206693,-157.49641206636912,-0.6068995195452658,-0.08713480467491763,1.916022090344483,0.6131227454678309,2.0117306359694513,-0.20341737230467552
1781078815.76063,283.16164445877075,149.15295245206693,-157.49641206636912,-0.6010734362381811,-0.09067533326208377,1.9170474020079966,0.607874404637475,2.0111146246196347,-0.20343108384180503
1781078815.8607354,283.26174998283386,149.15295244294134,-157.4953050600583,-0.6050175881393614,-0.09213137347254019,1.9151059790441827,0.6119922155844031,2.0105137111958933,-0.20029834468965746
1781078815.963045,283.3640594482422,149.15295244294134,-157.4953050600583,-0.6029307460489406,-0.0882408499187477,1.9129775646287337,0.609353700346125,2.0076840127117603,-0.20328286170380022
1781078816.0632064,283.4642210006714,149.15295246621946,-157.4953050849028,-0.6055822933514037,-0.0898981065497253,1.9153744015969445,0.6122185750056685,2.010838303264294,-0.2038106503389206
1781078816.162461,283.5634756088257,149.15190361533516,-157.49641256895288,-0.6026250818440246,-0.09244448115973114,1.915050851115369,0.609674479836912,2.0097568842330427,-0.2019489137993954
1781078816.2613835,283.6623980998993,149.15085482152475,-157.496412093567,-0.6020190928090869,-0.08955256960788915,1.9100369114579152,0.6086432870163376,2.0046664695060232,-0.20121275216563256
1781078816.3616807,283.7626953125,149.15085482152475,-157.496412093567,-0.6016555365500551,-0.08914426628453498,1.910381825226576,0.6082237128497563,2.0048677769440975,-0.20092758256753393
1781078816.460678,283.86169266700745,149.15085482152475,-157.496412093567,-0.6012197411886007,-0.08905848799713567,1.913736764314232,0.6077800518931367,2.0079305253337654,-0.20027207660205087
1781078816.56056,283.96157455444336,149.15085482152475,-157.496412093567,-0.6019238599472203,-0.08946731883756343,1.913942714409698,0.6085365513375044,2.0083559067943377,-0.20221611266916167
1781078816.6604464,284.0614609718323,149.15085482152475,-157.496412093567,-0.6018218141593366,-0.08715937457282052,1.912550914042918,0.6081005283454046,2.0068974192470233,-0.20335541300400398
1781078816.7608645,284.1618790626526,149.15085482152475,-157.496412093567,-0.6029724530148428,-0.09253029531330981,1.9148251157876033,0.6100308472901228,2.0096499343658123,-0.20086217166459852
1781078816.8634694,284.2644839286804,149.15085482152475,-157.496412093567,-0.6007778889957649,-0.08835876485190397,1.9107545481131676,0.6072407621630499,2.00492500766675,-0.20318263805188852
1781078816.9615183,284.3625328540802,149.15085482152475,-157.496412093567,-0.6011166272112689,-0.08910473236994676,1.9140037624276738,0.6076848301879614,2.008156183026575,-0.20000715310112915
1781078817.0604177,284.46143221855164,149.15085482152475,-157.496412093567,-0.6017235173713971,-0.09049075627677894,1.9128526959637975,0.6084897438160723,2.0073029678614334,-0.20068323809430438
1781078817.1612468,284.5622613430023,149.1508553346815,-157.49641262808692,-0.6048173430156112,-0.09054534254804025,1.9117644678250838,0.6115574196014675,2.00719850984105,-0.20199175209482206
1781078817.2613978,284.66241240501404,149.15085534411287,-157.4975196345393,-0.6038508816905903,-0.09141025248456458,1.9098415746813415,0.6107304819458377,2.005115099429233,-0.19962020006438183
1781078817.3605428,284.76155734062195,149.15085534411287,-157.4975196345393,-0.6025659400420693,-0.08635273545667133,1.9122124573520107,0.6087220277102123,2.0067633116717696,-0.20177928928989455
1781078817.4607306,284.86174511909485,149.15085534411287,-157.4975196345393,-0.600855678352076,-0.09009728952926821,1.911891545804104,0.6075730966628247,2.0061092569213823,-0.20326949511739267
1781078817.5613227,284.9623372554779,149.1508553346815,-157.49641262808692,-0.6043381721979699,-0.0927011554301771,1.909334596368759,0.6114066818359716,2.0048383305105486,-0.2002602421144814
1781078817.662783,285.06379747390747,149.1508553346815,-157.49641262808692,-0.6008383584458272,-0.08913169526414322,1.9125685820894172,0.6074135264221043,2.0067062000392735,-0.20172868378264294
1781078817.7635128,285.16452741622925,149.1508553346815,-157.49641262808692,-0.6051337869557472,-0.09126276836053648,1.9135173521313256,0.6119769546349213,2.008995881009195,-0.1988239783726547
1781078817.8611925,285.26220703125,149.1508553346815,-157.49641262808692,-0.6010534781937338,-0.09023447784485938,1.9121133061112972,0.6077890626201821,2.00638601471616,-0.20207065533469692
1781078817.960996,285.3620104789734,149.14980702907627,-157.49641266140915,-0.6026418505638276,-0.09049695275064096,1.9075192963756709,0.6093988008752121,2.002497631597521,-0.20098698446632077
1781078818.060582,285.46159648895264,149.1487587338302,-157.49751970195788,-0.5996421247854187,-0.08984770470257786,1.904654944788458,0.606335952964603,1.9988380991377508,-0.19976713598882145
1781078818.161102,285.5621166229248,149.1487587338302,-157.49751970195788,-0.6006193347644171,-0.08866187665495318,1.9074081250222368,0.6071280867039747,2.00170184319885,-0.2009487327853927
1781078818.2605965,285.6616110801697,149.14875872492453,-157.49641269479616,-0.5996396077490829,-0.09101913506898995,1.9104570041691344,0.6065081550401289,2.0044196434152917,-0.20051692608749308
1781078818.3620737,285.76308822631836,149.14875872492453,-157.49641269479616,-0.5993462737049242,-0.0877508774458704,1.906293116657232,0.605736058276621,2.0002173929128904,-0.20438575570610074
